name,surname,dob,primary_skill
Mario,Logan,2002-04-08,Cybersecurity
Ryan,Ashlea,2023-03-11,Video Production
Suanne,Daron,2001-12-19,Virtual Reality
Lucius,Elwood,2020-12-18,IT Security Metrics
Daren,Berna,2009-01-19,Internet of Things
Walton,Assunta,2013-12-10,Data Science
Nguyet,Florinda,2023-11-13,Software Security
Eldridge,Dale,2001-04-14,IT Security Incident Response
Gertrudis,Milton,2013-04-23,Data Analysis
Oscar,Kathaleen,2023-01-18,Digital Marketing
Fredericka,Delicia,2011-12-05,UI/UX Design
Zana,Newton,2014-11-15,Project Management
Loan,Isis,2013-08-09,Mobile Development
Monte,Pasquale,2000-03-17,Computer Forensics
Rayford,Denis,2008-10-26,Cybersecurity
Ty,Annis,2001-12-12,App Development
Trudie,Ailene,2019-10-21,Blockchain
Russell,Jeannetta,2020-04-22,IT Consultancy
Catheryn,Wava,2020-12-10,Mobile Development
Leanora,Alberto,2016-02-23,Software Architecture
Claudio,Eveline,2022-07-09,Quantum Computing
Rochell,Deandra,2010-04-13,Big Data
Gene,Doretta,2022-06-08,Information Systems
Benedict,Ricardo,2001-10-22,Cybersecurity
Elton,Jewel,2011-06-11,Digital Forensics
Fe,Andreas,2006-03-17,Cybersecurity Policy
Austin,Jamison,2001-11-09,Cybersecurity Policy
Vertie,Alfonzo,2018-04-21,Blockchain
Riley,Austin,2013-05-24,IT Security Compliance Monitoring
Neal,Venetta,2010-05-05,3D Printing
Julian,Houston,2006-03-16,IT Security Risk Management
Leo,Buffy,2005-02-03,IT Compliance Management Framework
Rodolfo,Desmond,2018-03-15,Web Development
Angelo,Osvaldo,2012-07-22,Data Analysis
Jutta,Lawana,2004-10-16,Cybercrime Investigation
Leanora,Tabetha,2017-01-30,IT Security Operations
Sook,Temeka,2018-10-22,Photography
Bud,Sage,2022-05-30,DevOps
Kristopher,Eustolia,2008-10-30,Cybersecurity Analytics
Sherise,Alton,2011-12-31,IT Compliance Framework
Raul,Marvin,2021-04-23,Cloud Computing
An,Corey,2010-02-16,Mobile Application Security
Gordon,Abraham,2006-03-19,IT Compliance Management Framework
Brandon,Enola,2011-04-27,Cybersecurity Policy
Tesha,Marica,2002-12-13,Photography
Eddie,Manual,2000-12-11,Networking
Rudolph,G.,2000-03-23,Cloud Security
Francesco,Lynell,2021-09-05,Cybersecurity
Elroy,Bree,2012-04-07,Data Analysis
Joesph,Skye,2004-06-25,IT Compliance Audit
Raymon,Norris,2018-06-20,Digital Forensics
Curt,Jeanett,2012-12-04,Data Privacy
So,Jacquiline,2005-11-02,IT Security Risk Management
Joshua,Evan,2006-06-11,AI and Machine Learning
Rueben,Hong,2009-12-01,IT Security Incident Response
Granville,Jerrica,2013-08-14,Computer Forensics
Virgil,Y,2006-09-28,Computer Security
Lonny,L.,2008-08-13,IT Compliance Management Framework
Devon,Ben,2004-04-20,Cyberwarfare
Bruce,Y,2003-11-30,IT Service Management
Chang,Reuben,2015-12-24,Search Engine Optimization
Tuan,Karleen,2017-04-22,Cryptography
Danilo,Dennis,2020-02-17,Business Analysis
Toshia,Chad,2004-05-30,Web Development
Agueda,Rosette,2016-09-28,Data Privacy
Nga,Renato,2011-09-23,IT Support
Thora,Ramon,2006-06-01,Data Privacy
Evan,Iluminada,2019-11-20,3D Printing
Elicia,Carol,2005-01-21,IT Management
Gus,Gino,2005-07-08,Software Security
Michel,Richard,2015-02-08,Photography
Suzi,Ezequiel,2008-01-04,Cloud Computing
Trey,Jovan,2023-05-10,Software Testing
Minna,Vella,2004-05-15,Big Data
Elayne,Harris,2019-04-10,Video Production
Adelle,Junita,2005-01-08,Cybersecurity Policy
Lamont,Refugio,2021-10-13,Software Architecture
Paulene,Marx,2004-08-09,IT Compliance Management
Boris,Savanna,2000-01-25,Data Privacy
Lucio,Elene,2012-03-04,IT Compliance Management
Jaimee,Lorilee,2023-03-07,IT Security Architecture Design
Xenia,Y,2012-09-05,Data Analysis
Lory,Emmy,2010-11-01,Cloud Security
Rolande,Bill,2003-06-16,Information Systems
Manual,Kandace,2005-07-20,Cryptography
Rolande,Sacha,2007-11-03,IT Service Management
Marshall,Britteny,2006-01-09,Quantum Computing
Eusebio,Matthew,2015-06-25,Cyberwarfare
Annis,Trinidad,2006-10-17,App Development
Carli,Leslie,2004-09-03,Search Engine Optimization
Abraham,Brent,2020-01-30,Graphic Design
Vi,,2006-09-05,Digital Marketing
Kermit,Loyd,2017-11-17,IT Auditing
Melia,Rufina,2009-04-16,Artificial Intelligence
Dustin,Angelic,2004-06-16,DevOps
Ja,Lanora,2016-08-16,Information Systems
Kasie,Sal,2000-02-27,Mobile Application Security
Jame,Agustin,2000-05-17,Internet of Things
Yelena,Andre,2019-08-12,IT Compliance Policy
Milton,Tawna,2002-03-30,Cryptography
Julian,Marylouise,2017-03-02,Social Media Marketing
Corrin,Bethanie,2010-05-13,IT Management
Nadene,Ceola,2020-06-04,IT Compliance
Salvador,Malena,2003-08-06,Project Management
Grant,Zada,2008-10-14,IT Service Management
Sang,Rubin,2017-10-14,Cryptography
Carroll,Don,2019-12-31,UI/UX Design
Bud,Cristen,2020-03-16,AI and Machine Learning
Janiece,Blondell,2018-08-20,IT Risk Management
Rubin,Hubert,2001-01-03,Video Production
Lanny,Alane,2022-09-13,Cybercrime Prevention
Kenton,Florinda,2016-02-29,IT Support
Marketta,Thurman,2012-01-09,Cybersecurity Architecture
Leif,Claudio,2001-01-22,App Development
Booker,Domenic,2012-03-19,Digital Marketing
Orlando,,2007-05-18,IT Security Incident Response
Crysta,Dario,2016-08-09,Software Engineering
Sylvester,Paul,2018-12-05,IT Security Risk Management
Luvenia,Tran,2017-02-22,IT Management
Kenneth,Delora,2001-11-11,Cybersecurity Analytics
Bee,Gema,2010-02-18,IT Security Architecture Design
Alonzo,Gearldine,2023-09-02,IT Consultancy
Domenic,Troy,2009-01-05,Business Analysis
Jeremy,Eleonore,2023-04-17,Cybersecurity
Forrest,Brock,2005-02-17,IT Compliance
Kenisha,Loreen,2013-07-06,Photography
Allyn,Richard,2007-01-31,Digital Forensics
Douglas,Fabian,2012-01-10,IT Management
Peter,Cleveland,2006-06-23,Programming
Karren,Janiece,2023-11-19,IT Compliance Auditing
Kennith,Talisha,2017-12-14,Data Science
Blaine,Tajuana,2002-02-08,Computer Security
Annett,Wilfred,2005-02-17,Photography
Chong,Chase,2003-09-23,Quantum Computing
Melynda,Kanesha,2003-09-17,Digital Marketing
Dinorah,Randolph,2008-11-29,Cyberlaw
Kenton,Felton,2000-02-20,3D Printing
Bret,Neely,2000-12-07,Software Engineering
My,Harry,2004-08-31,IT Security Operations Center
Fermin,Edward,2008-07-17,IT Compliance Management Framework
Craig,Shannon,2016-01-16,Cybersecurity Analytics
Buster,Isaac,2012-04-15,IT Auditing
Michelina,Faustino,2008-04-23,IT Compliance
Emilio,Wayne,2015-10-24,DevOps
Mendy,Elizabeth,2014-08-05,Virtual Reality
Stewart,Rhett,2013-04-02,Photography
Bradley,Maryam,2008-03-27,IT Compliance Policy
Jacki,Marvin,2022-03-21,Cloud Security
Mirella,Rodger,2003-08-27,IT Security Assessment
Kali,Santina,2004-07-27,DevOps
Cherelle,Tonisha,2017-05-14,IT Security Architecture
Tilda,Myles,2006-01-20,Blockchain
Salena,Marvella,2011-11-27,IT Management
Delicia,Keena,2001-07-23,IT Security Metrics
Benedict,Elton,2004-08-04,Virtual Reality
Franchesca,Shaquana,2008-01-12,Video Production
Basil,Bradford,2007-02-08,Digital Marketing
Sydney,Wilfredo,2008-11-29,Computer Forensics
Cassy,Dakota,2012-05-14,Content Writing
Leonard,Bao,2002-02-22,Cybersecurity Policy
Giovanni,Don,2007-06-20,IT Security Operations
Tawna,Vi,2009-05-24,IT Compliance Auditing
Archie,Pinkie,2015-11-14,IT Security Risk Management
Parthenia,Kenton,2022-12-05,Ethical Hacking
Leif,Marya,2011-12-21,Software Architecture
Mitsue,Sharda,2006-04-01,IT Risk Assessment
Kenisha,Hugh,2016-11-08,IT Security Compliance
Maida,Clyde,2006-07-24,Cloud Computing
Elli,Nevada,2007-07-10,Internet of Things
Del,Lakita,2010-08-14,Data Privacy
Vincenza,H.,2000-02-20,Photography
Florinda,Marty,2007-07-26,Digital Forensics
So,Mckinley,2023-10-09,IT Security Architecture Design
Abel,Mitchel,2016-02-20,IT Security Governance
Billy,Saul,2012-01-25,IT Risk Assessment
Floyd,Alfonzo,2001-07-26,IT Security Incident Response
Jefferson,Alan,2023-03-03,3D Printing
Federico,Whitley,2002-06-25,Data Analysis
Kieth,Walter,2015-04-12,App Development
Drusilla,Darell,2013-07-11,Cyberlaw
Shyla,Frederic,2020-03-24,Big Data
Evelina,Lavern,2002-02-28,IT Security Architecture
Mafalda,Francisco,2022-09-10,IT Auditing
Sandie,Q.,2009-12-18,IT Security Architecture
Carry,Celesta,2009-02-12,IT Security Operations
Merri,Josh,2016-05-13,Web Development
Warren,Forest,2008-03-03,Big Data
Billie,Celena,2007-09-11,Social Media Marketing
Maryln,Galina,2017-01-10,Data Privacy
Margareta,Eladia,2006-10-22,Social Media Marketing
Hyman,Percy,2016-07-21,Data Science
Chung,Leana,2010-10-28,Web Development
